cl,week,price,b1,b2
Chedraui,49,40,Kisses,Product49
WholeFoods,56,20,Cocoa,Product17
Walmart,49,47,Kisses,Product50
862 eleven,56,36,Kisses,Product18
Kmart,56,40,Kisses,Product19
OXXO,56,39,Kisses,Product20
Soriana,55,43,Hersheys,Product21
Chedraui,55,39,Hersheys,Product22
WholeFoods,56,16,Cocoa,Product23
Walmart,25,31,Hersheys,Product24
863 eleven,33,43,Kisses,Product107
Kmart,33,51,Kisses,Product25
OXXO,56,15,Almond Joy,Product26
Soriana,56,48,Reeses,Product22
Chedraui,32,39,Kisses,Product120
WholeFoods,57,16,Cocoa,Product28
Walmart,56,45,Kit Kat,Product29
864 eleven,32,50,Kisses,Product30
Kmart,57,47,Kisses,Product31
OXXO,57,50,Kisses,Product32
Soriana,45,50,Kisses,Product33
Chedraui,57,48,Kisses,Product34
WholeFoods,57,51,Kisses,Product35
Walmart,57,48,Kisses,Product36
865 eleven,57,45,Kisses,Product37
Kmart,57,46,Kisses,Product38
OXXO,30,37,Kisses,Product100
Soriana,49,52,Kisses,Product194
Chedraui,29,41,Kisses,Product39
WholeFoods,30,49,Kisses,Product40
Walmart,33,36,Kisses,Product41
866 eleven,57,49,Kisses,Product42
Kmart,58,15,Cocoa,Product43
OXXO,57,39,Kisses,Product44
Soriana,30,40,Kisses,Product61
Chedraui,30,36,Kisses,Product45
WholeFoods,58,44,Kisses,Product46
Walmart,58,45,Kisses,Product47
867 eleven,58,45,Kisses,Product48
Kmart,58,15,Almond Joy,Product49
OXXO,26,31,Hersheys,Product117
Soriana,34,44,Kisses,Product51
Chedraui,59,16,Cocoa,Product52
WholeFoods,58,113,Seasons,Product53
Walmart,58,47,Kisses,Product54
868 eleven,34,35,Kisses,Product55
Kmart,58,45,Kit Kat,Product29
OXXO,58,47,Kisses,Product56
Soriana,58,44,Kisses,Product57
Chedraui,58,36,Kisses,Product58
WholeFoods,58,39,Kisses,Product59
Walmart,34,35,Kisses,Product60
869 eleven,58,40,Kisses,Product61
Kmart,35,35,Kisses,Product62
OXXO,59,15,Almond Joy,Product63
Soriana,59,52,Kisses,Product64
Chedraui,59,39,Kisses,Product65
WholeFoods,59,51,Kisses,Product66
Walmart,59,39,Kisses,Product67
870 eleven,59,134,Seasons,Product68
Kmart,59,41,Kisses,Product69
OXXO,51,38,Kisses,Product117
Soriana,59,47,Kisses,Product70
Chedraui,59,43,Kisses,Product71
WholeFoods,59,11,Almond Joy,Product72
Walmart,59,31,Hersheys,Product73
871 eleven,59,11,Almond Joy,Product74
Kmart,59,11,Almond Joy,Product75
OXXO,54,30,Hersheys,Product76
Soriana,59,22,Cocoa,Product77
Chedraui,59,44,Kit Kat,Product78
WholeFoods,60,48,Kisses,Product79
Walmart,60,13,Almond Joy,Product80
872 eleven,60,13,Almond Joy,Product81
Kmart,60,16,Cocoa,Product82
OXXO,55,41,Hersheys,Product83
Soriana,60,26,Bites,Product84
Chedraui,60,43,Kisses,Product85
WholeFoods,60,40,Kisses,Product86
Walmart,60,42,Kisses,Product87
873 eleven,60,37,Kisses,Product88
Kmart,44,49,Kisses,Product89
OXXO,61,42,Milk,Product90
Soriana,60,28,Bites,Product91
Chedraui,60,12,Almond Joy,Product92
WholeFoods,60,13,Almond Joy,Product93
Walmart,60,145,Seasons,Product94
874 eleven,60,33,Kit Kat,Product95
Kmart,59,37,Kit Kat,Product96
OXXO,61,39,Kisses,Product97
Soriana,26,37,Kisses,Product98
Chedraui,61,30,Bites,Product99
WholeFoods,36,37,Kisses,Product100
Walmart,61,12,Almond Joy,Product101
875 eleven,61,35,Kisses,Product102
Kmart,61,30,Kit Kat,Product103
OXXO,37,50,Kisses,Product33
Soriana,61,35,Kisses,Product104
Chedraui,61,49,Kisses,Product105
WholeFoods,61,42,Kisses,Product106
Walmart,37,43,Kisses,Product107
876 eleven,61,12,Almond Joy,Product107
Kmart,61,13,Almond Joy,Product108
OXXO,61,113,Seasons,Product109
Soriana,61,51,Reeses,Product110
Chedraui,61,51,Reeses,Product111
WholeFoods,61,39,Kisses,Product112
Walmart,61,32,Kit Kat,Product113
877 eleven,39,45,Kisses,Product114
Kmart,61,22,Bites,Product115
OXXO,62,37,Kisses,Product116
Soriana,62,10,Almond Joy,Product117
Chedraui,62,6,Jolly Rancher,Product118
WholeFoods,40,36,Kisses,Product18
Walmart,61,38,Kisses,Product119
878 eleven,61,37,Kit Kat,Product120
Kmart,40,48,Kisses,Product121
OXXO,29,43,Kisses,Product122
Soriana,63,11,Almond Joy,Product123
Chedraui,41,44,Kisses,Product124
WholeFoods,29,48,Kisses,Product1
Walmart,44,36,Kisses,Product18
879 eleven,63,6,Jolly Rancher,Product126
Kmart,63,43,Kisses,Product127
OXXO,63,42,Kisses,Product128
Soriana,63,12,Almond Joy,Product129
Chedraui,30,52,Kisses,Product130
WholeFoods,31,41,Kisses,Product131
Walmart,63,10,Almond Joy,Product132
880 eleven,63,10,Almond Joy,Product133
Kmart,63,10,Almond Joy,Product134
OXXO,32,39,Kisses,Product135
Soriana,31,35,Kisses,Product136
Chedraui,32,36,Kisses,Product137
WholeFoods,33,48,Kisses,Product138
Walmart,34,41,Kisses,Product151
881 eleven,34,37,Kisses,Product139
Kmart,35,36,Kisses,Product137
OXXO,35,48,Kisses,Product140
Soriana,38,44,Kisses,Product141
Chedraui,38,35,Kisses,Product142
WholeFoods,41,43,Kisses,Product143
Walmart,42,38,Kisses,Product144
882 eleven,42,44,Kisses,Product145
Kmart,43,47,Kisses,Product146
OXXO,43,40,Kisses,Product61
Soriana,42,40,Kisses,Product147
Chedraui,41,41,Kisses,Product148
WholeFoods,40,41,Kisses,Product148
Walmart,42,48,Kisses,Product149
883 eleven,38,38,Kisses,Product150
Kmart,39,41,Kisses,Product151
OXXO,39,48,Kisses,Product152
Soriana,37,52,Kisses,Product194
Chedraui,37,38,Kisses,Product153
WholeFoods,35,45,Kisses,Product154
Walmart,35,48,Kisses,Product155
884 eleven,29,52,Kisses,Product156
Kmart,40,44,Kisses,Product157
OXXO,29,50,Kisses,Product158
Soriana,30,40,Kisses,Product61
Chedraui,30,52,Kisses,Product159
WholeFoods,34,39,Kisses,Product65
Walmart,32,39,Kisses,Product160
885 eleven,33,43,Kisses,Product161
Kmart,31,41,Kisses,Product162
OXXO,33,43,Kisses,Product143
Soriana,36,52,Kisses,Product163
Chedraui,34,40,Kisses,Product61
WholeFoods,34,37,Kisses,Product164
Walmart,29,36,Kisses,Product165
886 eleven,30,51,Kisses,Product10
Kmart,32,51,Kisses,Product166
OXXO,36,36,Kisses,Product167
Soriana,33,48,Kisses,Product168
Chedraui,33,41,Kisses,Product27
WholeFoods,33,37,Kisses,Product169
Walmart,34,51,Kisses,Product170
887 eleven,35,38,Kisses,Product171
Kmart,36,36,Kisses,Product172
OXXO,27,38,Kisses,Product171
Soriana,32,7,Jolly Rancher,Product173
Chedraui,35,7,Jolly Rancher,Product173
WholeFoods,37,7,Jolly Rancher,Product173
Walmart,40,7,Jolly Rancher,Product173
888 eleven,43,6,Jolly Rancher,Product174
Kmart,46,14,Almond Joy,Product175
OXXO,49,40,Kisses,Product61
Soriana,46,10,Almond Joy,Product176
Chedraui,53,120,Seasons,Product177
WholeFoods,40,7,Jolly Rancher,Product178
Walmart,27,42,Kisses,Product179
889 eleven,32,6,Jolly Rancher,Product180
Kmart,45,12,Almond Joy,Product181
OXXO,49,44,Kisses,Product182
Soriana,49,47,Kisses,Product183
Chedraui,45,13,Almond Joy,Product184
WholeFoods,46,12,Almond Joy,Product185
Walmart,50,39,Kit Kat,Product186
890 eleven,53,105,Seasons,Product187
Kmart,50,42,Kit Kat,Product188
OXXO,27,39,Kisses,Product44
Soriana,50,42,Kit Kat,Product189
Chedraui,50,30,Kit Kat,Product190
WholeFoods,27,46,Kisses,Product191
Walmart,51,41,Hersheys,Product192
891 eleven,51,38,Hersheys,Product193
Kmart,51,43,Hersheys,Product194
OXXO,51,45,Hersheys,Product195
Soriana,51,36,Hersheys,Product196
Chedraui,51,45,Hersheys,Product197
WholeFoods,51,30,Hersheys,Product198
Walmart,51,41,Hersheys,Product199
892 eleven,51,43,Hersheys,Product200
Kmart,53,118,Seasons,Product1
OXXO,51,42,Hersheys,Product2
Soriana,27,35,Kisses,Product3
Chedraui,58,19,Cocoa,Product4
WholeFoods,58,18,Cocoa,Product116
Walmart,58,19,Cocoa,Product6
893 eleven,58,20,Cocoa,Product7
Kmart,46,13,Almond Joy,Product8
OXXO,58,17,Cocoa,Product9
Soriana,46,10,Almond Joy,Product10
Chedraui,34,7,Jolly Rancher,Product11
WholeFoods,28,37,Kisses,Product12
Walmart,58,17,Cocoa,Product13
894 eleven,58,16,Cocoa,Product107
Kmart,58,15,Cocoa,Product15
OXXO,58,17,Cocoa,Product16
Soriana,45,14,Almond Joy,Product17
Chedraui,61,47,Milk,Product18
WholeFoods,61,56,Milk,Product19
Walmart,61,49,Milk,Product20
895 eleven,45,10,Almond Joy,Product21
Kmart,51,14,Almond Joy,Product22
OXXO,51,15,Almond Joy,Product23
Soriana,51,14,Almond Joy,Product17
Chedraui,45,13,Almond Joy,Product24
WholeFoods,46,15,Almond Joy,Product23
Walmart,45,14,Almond Joy,Product22
896 eleven,37,7,Jolly Rancher,Product25
Kmart,28,23,Bites,Product60
OXXO,50,40,Kisses,Product26
Soriana,50,41,Kisses,Product27
Chedraui,50,44,Kisses,Product28
WholeFoods,50,41,Kisses,Product29
Walmart,50,50,Kisses,Product30
897 eleven,50,47,Kisses,Product31
Kmart,36,7,Jolly Rancher,Product32
OXXO,38,5,Jolly Rancher,Product33
Soriana,35,7,Jolly Rancher,Product34
Chedraui,61,41,Milk,Product35
WholeFoods,61,40,Milk,Product36
Walmart,46,11,Almond Joy,Product37
898 eleven,46,11,Almond Joy,Product38
Kmart,46,15,Almond Joy,Product39
OXXO,46,5,Jolly Rancher,Product40
Soriana,20,39,Hersheys,Product41
Chedraui,30,5,Jolly Rancher,Product40
WholeFoods,35,7,Jolly Rancher,Product41
Walmart,32,6,Jolly Rancher,Product44
899 eleven,33,6,Jolly Rancher,Product45
Kmart,34,6,Jolly Rancher,Product46
OXXO,34,7,Jolly Rancher,Product47
Soriana,34,7,Jolly Rancher,Product48
Chedraui,36,6,Jolly Rancher,Product49
WholeFoods,37,6,Jolly Rancher,Product50
Walmart,38,5,Jolly Rancher,Product51
900 eleven,20,39,Hersheys,Product52
Kmart,39,6,Jolly Rancher,Product53
OXXO,40,5,Jolly Rancher,Product54
Soriana,42,5,Jolly Rancher,Product55
Chedraui,42,7,Jolly Rancher,Product56
WholeFoods,45,7,Jolly Rancher,Product57
Walmart,46,5,Jolly Rancher,Product40
901 eleven,47,7,Jolly Rancher,Product58
Kmart,46,5,Jolly Rancher,Product59
OXXO,35,7,Jolly Rancher,Product60
Soriana,20,39,Hersheys,Product61
Chedraui,29,6,Jolly Rancher,Product62
WholeFoods,30,5,Jolly Rancher,Product63
Walmart,32,7,Jolly Rancher,Product64
902 eleven,33,7,Jolly Rancher,Product65
Kmart,34,5,Jolly Rancher,Product66
OXXO,34,6,Jolly Rancher,Product67
Soriana,36,7,Jolly Rancher,Product68
Chedraui,37,7,Jolly Rancher,Product69
WholeFoods,46,6,Jolly Rancher,Product70
Walmart,37,5,Jolly Rancher,Product71
903 eleven,20,52,Kisses,Product72
Kmart,38,7,Jolly Rancher,Product73
OXXO,40,6,Jolly Rancher,Product74
Soriana,39,6,Jolly Rancher,Product75
Chedraui,42,6,Jolly Rancher,Product76
WholeFoods,43,5,Jolly Rancher,Product77
Walmart,46,7,Jolly Rancher,Product159
904 eleven,47,7,Jolly Rancher,Product79
Kmart,21,34,Hersheys,Product80
OXXO,29,7,Jolly Rancher,Product81
Soriana,30,7,Jolly Rancher,Product82
Chedraui,32,7,Jolly Rancher,Product83
WholeFoods,35,5,Jolly Rancher,Product84
Walmart,33,6,Jolly Rancher,Product85
905 eleven,34,6,Jolly Rancher,Product86
Kmart,37,7,Jolly Rancher,Product87
OXXO,34,5,Jolly Rancher,Product88
Soriana,37,7,Jolly Rancher,Product87
Chedraui,36,7,Jolly Rancher,Product89
WholeFoods,38,5,Jolly Rancher,Product90
Walmart,21,38,Kisses,Product153
906 eleven,40,5,Jolly Rancher,Product92
Kmart,21,45,Kisses,Product93
OXXO,42,6,Jolly Rancher,Product94
Soriana,45,5,Jolly Rancher,Product95
Chedraui,45,5,Jolly Rancher,Product96
WholeFoods,61,20,Cocoa,Product97
Walmart,61,21,Cocoa,Product98
907 eleven,61,22,Cocoa,Product99
Kmart,22,38,Hersheys,Product100
OXXO,29,6,Jolly Rancher,Product101
Soriana,42,6,Jolly Rancher,Product102
Chedraui,40,5,Jolly Rancher,Product103
WholeFoods,61,19,Cocoa,Product104
Walmart,61,17,Cocoa,Product105
908 eleven,61,22,Cocoa,Product106
Kmart,61,16,Cocoa,Product107
OXXO,61,19,Cocoa,Product108
Soriana,61,16,Cocoa,Product109
Chedraui,61,15,Cocoa,Product110
WholeFoods,61,21,Cocoa,Product111
Walmart,30,5,Jolly Rancher,Product112
909 eleven,22,33,Hersheys,Product113
Kmart,33,7,Jolly Rancher,Product114
OXXO,35,7,Jolly Rancher,Product115
Soriana,61,18,Cocoa,Product116
Chedraui,35,5,Jolly Rancher,Product117
WholeFoods,37,5,Jolly Rancher,Product117
Walmart,37,5,Jolly Rancher,Product119
910 eleven,39,7,Jolly Rancher,Product120
Kmart,40,6,Jolly Rancher,Product121
OXXO,42,6,Jolly Rancher,Product122
Soriana,31,7,Jolly Rancher,Product123
Chedraui,22,41,Hersheys,Product124
WholeFoods,33,7,Jolly Rancher,Product125
Walmart,34,6,Jolly Rancher,Product126
911 eleven,36,6,Jolly Rancher,Product127
Kmart,36,7,Jolly Rancher,Product128
OXXO,37,5,Jolly Rancher,Product129
Soriana,38,6,Jolly Rancher,Product130
Chedraui,40,7,Jolly Rancher,Product131
WholeFoods,43,5,Jolly Rancher,Product132
Walmart,31,7,Jolly Rancher,Product133
912 eleven,23,40,Hersheys,Product134
Kmart,34,7,Jolly Rancher,Product135
OXXO,35,7,Jolly Rancher,Product136
Soriana,36,6,Jolly Rancher,Product137
Chedraui,36,6,Jolly Rancher,Product138
WholeFoods,38,6,Jolly Rancher,Product139
Walmart,39,7,Jolly Rancher,Product140
913 eleven,41,5,Jolly Rancher,Product141
Kmart,42,5,Jolly Rancher,Product142
OXXO,45,5,Jolly Rancher,Product143
Soriana,46,6,Jolly Rancher,Product144
Chedraui,23,43,Hersheys,Product21
WholeFoods,29,7,Jolly Rancher,Product146
Walmart,47,5,Jolly Rancher,Product147
914 eleven,47,5,Jolly Rancher,Product147
Kmart,47,7,Jolly Rancher,Product148
OXXO,47,5,Jolly Rancher,Product149
Soriana,47,5,Jolly Rancher,Product150
Chedraui,47,7,Jolly Rancher,Product151
WholeFoods,61,22,Cocoa,Product152
Walmart,23,38,Hersheys,Product100
915 eleven,61,21,Cocoa,Product153
Kmart,61,22,Cocoa,Product117
OXXO,61,16,Cocoa,Product154
Soriana,61,17,Cocoa,Product176
Chedraui,46,6,Jolly Rancher,Product156
WholeFoods,60,30,Bites,Product157
Walmart,47,7,Jolly Rancher,Product158
916 eleven,24,42,Hersheys,Product159
Kmart,37,6,Jolly Rancher,Product101
OXXO,39,6,Jolly Rancher,Product161
Soriana,37,7,Jolly Rancher,Product162
Chedraui,35,5,Jolly Rancher,Product163
WholeFoods,30,6,Jolly Rancher,Product164
Walmart,33,5,Jolly Rancher,Product165
917 eleven,30,6,Jolly Rancher,Product166
Kmart,32,6,Jolly Rancher,Product167
OXXO,24,43,Hersheys,Product168
Soriana,34,5,Jolly Rancher,Product169
Chedraui,36,7,Jolly Rancher,Product170
WholeFoods,40,7,Jolly Rancher,Product171
Walmart,55,30,Hersheys,Product172
918 eleven,55,38,Hersheys,Product173
Kmart,56,34,Hersheys,Product174
OXXO,55,42,Hersheys,Product175
Soriana,45,6,Jolly Rancher,Product196
Chedraui,43,6,Jolly Rancher,Product176
WholeFoods,35,5,Jolly Rancher,Product177
Walmart,24,44,Kisses,Product51
919 eleven,36,6,Jolly Rancher,Product179
Kmart,48,6,Jolly Rancher,Product180
OXXO,48,6,Jolly Rancher,Product180
Soriana,56,43,Hersheys,Product181
Chedraui,56,31,Hersheys,Product182
WholeFoods,56,40,Hersheys,Product183
Walmart,43,5,Jolly Rancher,Product184
920 eleven,31,6,Jolly Rancher,Product185
Kmart,25,40,Kisses,Product49
OXXO,33,5,Jolly Rancher,Product187
Soriana,34,6,Jolly Rancher,Product188
Chedraui,36,5,Jolly Rancher,Product189
WholeFoods,36,7,Jolly Rancher,Product190
Walmart,38,6,Jolly Rancher,Product191
921 eleven,39,7,Jolly Rancher,Product192
Kmart,41,6,Jolly Rancher,Product193
OXXO,45,5,Jolly Rancher,Product194
Soriana,43,6,Jolly Rancher,Product195
Chedraui,25,35,Kisses,Product136
WholeFoods,53,12,Almond Joy,Product197
Walmart,53,14,Almond Joy,Product198
922 eleven,53,11,Almond Joy,Product199
Kmart,53,14,Almond Joy,Product200
OXXO,53,14,Almond Joy,Product1
Soriana,54,14,Almond Joy,Product2
Chedraui,54,10,Almond Joy,Product3
WholeFoods,54,13,Almond Joy,Product4
Walmart,54,15,Almond Joy,Product5
923 eleven,54,10,Almond Joy,Product6
Kmart,54,11,Almond Joy,Product7
OXXO,47,6,Jolly Rancher,Product8
Soriana,29,6,Jolly Rancher,Product9
Chedraui,25,51,Kisses,Product10
WholeFoods,33,7,Jolly Rancher,Product11
Walmart,46,16,Cocoa,Product12
924 eleven,36,7,Jolly Rancher,Product13
Kmart,42,6,Jolly Rancher,Product14
OXXO,46,6,Jolly Rancher,Product15
Soriana,47,5,Jolly Rancher,Product16
Chedraui,46,5,Jolly Rancher,Product17
WholeFoods,32,6,Jolly Rancher,Product18
Walmart,26,32,Hersheys,Product19
925 eleven,40,7,Jolly Rancher,Product20
Kmart,45,7,Jolly Rancher,Product21
OXXO,42,5,Jolly Rancher,Product22
Soriana,41,5,Jolly Rancher,Product23
Chedraui,35,7,Jolly Rancher,Product24
WholeFoods,38,7,Jolly Rancher,Product25
Walmart,37,7,Jolly Rancher,Product26
926 eleven,37,7,Jolly Rancher,Product26
Kmart,40,5,Jolly Rancher,Product27
OXXO,39,7,Jolly Rancher,Product28
Soriana,37,7,Jolly Rancher,Product29
Chedraui,26,40,Kisses,Product125
WholeFoods,43,6,Jolly Rancher,Product31
Walmart,46,6,Jolly Rancher,Product144
927 eleven,62,7,Jolly Rancher,Product32
Kmart,6,16,Pelon,Product33
OXXO,50,34,Kit Kat,Product34
Soriana,62,7,Jolly Rancher,Product35
Chedraui,62,7,Jolly Rancher,Product36
WholeFoods,62,6,Jolly Rancher,Product37
Walmart,62,6,Jolly Rancher,Product38
928 eleven,62,5,Jolly Rancher,Product39
Kmart,62,5,Jolly Rancher,Product40
OXXO,62,7,Jolly Rancher,Product41
Soriana,62,5,Jolly Rancher,Product42
Chedraui,62,5,Jolly Rancher,Product43
WholeFoods,15,18,Pelon,Product44
Walmart,62,6,Jolly Rancher,Product45
929 eleven,50,40,Kit Kat,Product46
Kmart,1,14,Pelon,Product47
OXXO,62,7,Jolly Rancher,Product48
Soriana,6,16,Pelon,Product33
Chedraui,1,18,Pelon,Product49
WholeFoods,34,26,Bites,Product50
Walmart,62,5,Jolly Rancher,Product51
930 eleven,62,7,Jolly Rancher,Product52
Kmart,2,15,Pelon,Product53
OXXO,62,5,Jolly Rancher,Product54
Soriana,3,16,Pelon,Product55
Chedraui,3,18,Pelon,Product56
WholeFoods,50,31,Kit Kat,Product57
Walmart,6,16,Pelon,Product33
931 eleven,3,15,Pelon,Product58
Kmart,3,14,Pelon,Product59
OXXO,50,30,Kit Kat,Product60
Soriana,2,19,Pelon,Product61
Chedraui,6,16,Pelon,Product33
WholeFoods,3,18,Pelon,Product62
Walmart,3,18,Pelon,Product62
932 eleven,6,16,Pelon,Product33
Kmart,56,28,Bites,Product63
OXXO,1,14,Pelon,Product64
Soriana,2,19,Pelon,Product65
Chedraui,1,13,Pelon,Product66
WholeFoods,1,14,Pelon,Product67
Walmart,1,15,Pelon,Product68
933 eleven,1,13,Pelon,Product69
Kmart,3,15,Pelon,Product70
OXXO,3,17,Pelon,Product71
Soriana,3,19,Pelon,Product72
Chedraui,3,19,Pelon,Product73
WholeFoods,3,19,Pelon,Product74
Walmart,3,14,Pelon,Product75
934 eleven,3,13,Pelon,Product76
Kmart,2,14,Pelon,Product77
OXXO,3,18,Pelon,Product78
Soriana,9,14,Almond Joy,Product79
Chedraui,10,13,Almond Joy,Product80
WholeFoods,62,7,Jolly Rancher,Product81
Walmart,62,5,Jolly Rancher,Product66
935 eleven,62,7,Jolly Rancher,Product83
Kmart,62,5,Jolly Rancher,Product84
OXXO,62,6,Jolly Rancher,Product85
Soriana,62,6,Jolly Rancher,Product86
Chedraui,62,7,Jolly Rancher,Product87
WholeFoods,62,5,Jolly Rancher,Product88
Walmart,62,7,Jolly Rancher,Product89
936 eleven,62,5,Jolly Rancher,Product90
Kmart,33,26,Bites,Product50
OXXO,62,5,Jolly Rancher,Product91
Soriana,62,5,Jolly Rancher,Product92
Chedraui,62,7,Jolly Rancher,Product93
WholeFoods,62,6,Jolly Rancher,Product94
Walmart,62,5,Jolly Rancher,Product95
937 eleven,62,5,Jolly Rancher,Product96
Kmart,63,5,Jolly Rancher,Product97
OXXO,63,7,Jolly Rancher,Product98
Soriana,63,6,Jolly Rancher,Product99
Chedraui,63,7,Jolly Rancher,Product100
WholeFoods,63,6,Jolly Rancher,Product101
Walmart,63,6,Jolly Rancher,Product102
938 eleven,63,5,Jolly Rancher,Product103
Kmart,35,26,Bites,Product50
OXXO,63,6,Jolly Rancher,Product104
Soriana,63,6,Jolly Rancher,Product105
Chedraui,63,6,Jolly Rancher,Product106
WholeFoods,63,6,Jolly Rancher,Product107
Walmart,63,6,Jolly Rancher,Product108
939 eleven,63,6,Jolly Rancher,Product109
Kmart,63,5,Jolly Rancher,Product110
OXXO,63,5,Jolly Rancher,Product111
Soriana,63,5,Jolly Rancher,Product112
Chedraui,63,5,Jolly Rancher,Product113
WholeFoods,63,7,Jolly Rancher,Product114
Walmart,63,7,Jolly Rancher,Product115
940 eleven,63,7,Jolly Rancher,Product116
Kmart,63,5,Jolly Rancher,Product117
OXXO,63,6,Jolly Rancher,Product118
Soriana,63,5,Jolly Rancher,Product119
Chedraui,63,7,Jolly Rancher,Product120
WholeFoods,63,6,Jolly Rancher,Product121
Walmart,63,6,Jolly Rancher,Product122
941 eleven,63,7,Jolly Rancher,Product123
Kmart,54,119,Seasons,Product124
OXXO,63,7,Jolly Rancher,Product125
Soriana,63,6,Jolly Rancher,Product126
Chedraui,63,6,Jolly Rancher,Product127
WholeFoods,63,15,Pelon,Product128
Walmart,54,109,Seasons,Product129
942 eleven,63,19,Pelon,Product130
Kmart,63,15,Pelon,Product131
OXXO,63,15,Pelon,Product132
Soriana,63,15,Pelon,Product133
Chedraui,63,18,Pelon,Product134
WholeFoods,64,17,Pelon,Product135
Walmart,64,19,Pelon,Product136
943 eleven,64,16,Pelon,Product137
Kmart,64,15,Pelon,Product138
OXXO,64,19,Pelon,Product139
Soriana,54,126,Seasons,Product140
Chedraui,64,15,Pelon,Product141
WholeFoods,64,15,Pelon,Product142
Walmart,64,17,Pelon,Product143
944 eleven,54,146,Seasons,Product144
Kmart,54,139,Seasons,Product145
OXXO,62,7,Jolly Rancher,Product146
Soriana,55,147,Seasons,Product147
Chedraui,62,7,Jolly Rancher,Product148
WholeFoods,62,5,Jolly Rancher,Product149
Walmart,62,5,Jolly Rancher,Product150
945 eleven,62,7,Jolly Rancher,Product151
Kmart,62,5,Jolly Rancher,Product152
OXXO,63,7,Jolly Rancher,Product146
Soriana,63,5,Jolly Rancher,Product150
Chedraui,63,6,Jolly Rancher,Product153
WholeFoods,63,7,Jolly Rancher,Product154
Walmart,18,37,Kit Kat,Product155
946 eleven,63,6,Jolly Rancher,Product156
Kmart,55,144,Seasons,Product157
OXXO,63,7,Jolly Rancher,Product158
Soriana,63,7,Jolly Rancher,Product159
Chedraui,64,5,Jolly Rancher,Product160
WholeFoods,64,6,Jolly Rancher,Product161
Walmart,64,7,Jolly Rancher,Product162
947 eleven,64,5,Jolly Rancher,Product163
Kmart,64,6,Jolly Rancher,Product164
OXXO,64,5,Jolly Rancher,Product165
Soriana,64,6,Jolly Rancher,Product166
Chedraui,64,6,Jolly Rancher,Product167
WholeFoods,64,6,Jolly Rancher,Product168
Walmart,64,5,Jolly Rancher,Product169
948 eleven,33,21,Bites,Product170
Kmart,64,7,Jolly Rancher,Product171
OXXO,64,6,Jolly Rancher,Product172
Soriana,64,7,Jolly Rancher,Product173
Chedraui,56,26,Bites,Product174
WholeFoods,52,52,Kisses,Product175
Walmart,18,39,Kit Kat,Product176
949 eleven,65,11,Almond Joy,Product177
Kmart,52,36,Kisses,Product18
OXXO,65,14,Almond Joy,Product178
Soriana,65,10,Almond Joy,Product179
Chedraui,65,12,Almond Joy,Product180
WholeFoods,65,12,Almond Joy,Product181
Walmart,65,11,Almond Joy,Product182
950 eleven,52,47,Kisses,Product183
Kmart,65,13,Almond Joy,Product184
OXXO,33,24,Bites,Product9
Soriana,52,51,Kisses,Product185
Chedraui,52,41,Kisses,Product186
WholeFoods,52,36,Kisses,Product167
Walmart,57,24,Bites,Product188
951 eleven,57,25,Bites,Product189
Kmart,57,29,Bites,Product190
OXXO,62,23,Bites,Product191
Soriana,57,20,Bites,Product192
Chedraui,62,25,Bites,Product193
WholeFoods,62,21,Bites,Product194
Walmart,62,24,Bites,Product195
952 eleven,62,21,Bites,Product64
Kmart,64,6,Jolly Rancher,Product196
OXXO,18,31,Kit Kat,Product197
Soriana,64,6,Jolly Rancher,Product198
Chedraui,57,22,Bites,Product199
WholeFoods,64,5,Jolly Rancher,Product200
Walmart,64,5,Jolly Rancher,Product1
953 eleven,64,5,Jolly Rancher,Product1
Kmart,53,48,Kisses,Product2
OXXO,53,40,Kisses,Product49
Soriana,33,22,Bites,Product3
Chedraui,53,47,Kisses,Product4
WholeFoods,52,36,Kisses,Product5
Walmart,53,43,Kisses,Product6
954 eleven,52,41,Kisses,Product7
Kmart,57,24,Bites,Product8
OXXO,60,6,Jolly Rancher,Product9
Soriana,62,22,Bites,Product10
Chedraui,60,7,Jolly Rancher,Product11
WholeFoods,62,26,Bites,Product12
Walmart,62,22,Bites,Product13
955 eleven,62,21,Bites,Product14
Kmart,62,20,Bites,Product15
OXXO,62,22,Bites,Product16
Soriana,18,33,Kit Kat,Product17
Chedraui,60,6,Jolly Rancher,Product18
WholeFoods,60,7,Jolly Rancher,Product19
Walmart,33,20,Bites,Product52
956 eleven,18,39,Kit Kat,Product20
Kmart,23,36,Kit Kat,Product21
OXXO,33,28,Bites,Product22
Soriana,60,5,Jolly Rancher,Product23
Chedraui,60,7,Jolly Rancher,Product24
WholeFoods,60,7,Jolly Rancher,Product25
Walmart,62,7,Jolly Rancher,Product26
957 eleven,53,28,Bites,Product27
Kmart,62,7,Jolly Rancher,Product28
OXXO,62,7,Jolly Rancher,Product29
Soriana,62,7,Jolly Rancher,Product30
Chedraui,62,6,Jolly Rancher,Product31
WholeFoods,62,7,Jolly Rancher,Product32
Walmart,62,5,Jolly Rancher,Product33
958 eleven,62,7,Jolly Rancher,Product34
Kmart,62,7,Jolly Rancher,Product35
OXXO,62,7,Jolly Rancher,Product36
Soriana,33,21,Bites,Product37
Chedraui,53,25,Bites,Product200
WholeFoods,63,27,Bites,Product39
Walmart,53,29,Bites,Product40
959 eleven,63,22,Bites,Product41
Kmart,62,27,Bites,Product42
OXXO,63,28,Bites,Product43
Soriana,63,27,Bites,Product44
